Date,Customer,Country,Product,Business_Line,Sales_Amount,Sales_Amount_Target,Sales_Margin,Sales_Quantity
2008-02-11 00:00:00,Ramu,Switzerland,S13_1681,Classic cars,7291,9948,25,55
2006-03-19 00:00:00,Praveen,Netherlands,S15_1682,Vintage cars,10242,19515,28,39
2011-12-21 00:00:00,Kalyan,Australia,S16_1683,Vintage cars,7606,19873,32,17
2011-10-28 00:00:00,Abhi,Canada,S11_1679,Truks And Buses,3480,6762,16,19
2005-04-15 00:00:00,Praveen,Australia,S15_1682,Vintage cars,11708,14644,46,27
2009-02-01 00:00:00,Iliyaz,Germany,S14_1681,Trains,11738,19447,16,35
2008-05-21 00:00:00,Snidha,Austria,S12_1680,Truks And Buses,6144,12003,42,68
2007-06-04 00:00:00,Ravi,Brazil,S10_1678,Ships,8372,6921,29,7
2007-01-15 00:00:00,Iliyaz,Netherlands,S15_1682,Motarcycles,6780,6547,40,41
2006-08-28 00:00:00,Iliyaz,India,S11_1679,Classic cars,5252,8189,33,16
2006-02-09 00:00:00,Kalyan,Australia,S13_1681,Ships,3227,10430,45,7
2012-10-24 00:00:00,Kalyan,Brazil,S13_1681,Classic cars,4179,18341,14,51
2005-01-21 00:00:00,Mahesh,Brazil,S16_1683,Motarcycles,9413,9112,37,10
2012-01-19 00:00:00,Raja,Switzerland,S14_1681,Plans,11569,9056,25,42
2010-07-08 00:00:00,Iliyaz,Germany,S16_1683,Ships,8362,12418,12,56
2010-03-29 00:00:00,Raja,India,S12_1680,Vintage cars,7692,6176,32,33
2012-11-28 00:00:00,Mahesh,India,S16_1683,Ships,11417,18653,43,15
2011-09-14 00:00:00,Vijay,Germany,S12_1680,Motarcycles,9149,12860,11,51
2009-09-26 00:00:00,Iliyaz,Canada,S12_1680,Motarcycles,8427,9971,11,77
2009-03-13 00:00:00,Snidha,Germany,S10_1678,Vintage cars,7821,6602,20,71
2009-07-08 00:00:00,Ravi,Austria,S14_1681,Ships,9834,19797,39,25
2005-05-15 00:00:00,Kalyan,Austria,S13_1681,Trains,5010,8829,49,13
2012-03-11 00:00:00,Abhi,Switzerland,S11_1679,Trains,11939,8731,41,39
2012-01-12 00:00:00,Snidha,Switzerland,S13_1681,Ships,3131,5108,15,11
2008-06-12 00:00:00,Abhi,India,S16_1683,Vintage cars,9573,7019,37,23
2012-09-03 00:00:00,Ravi,Canada,S11_1679,Trains,9562,9699,17,38
2007-11-27 00:00:00,Snidha,Australia,S15_1682,Ships,3075,17768,13,75
2006-03-22 00:00:00,Snidha,Netherlands,S15_1682,Truks And Buses,4782,11543,29,18
2007-09-05 00:00:00,Mahesh,Switzerland,S11_1679,Classic cars,7793,16661,27,26
2012-03-25 00:00:00,Kiran,Brazil,S11_1679,Plans,8744,19415,29,57
2007-07-13 00:00:00,Ramu,Switzerland,S10_1678,Truks And Buses,8153,15909,33,54
2010-11-12 00:00:00,Shafi,Austria,S10_1678,Vintage cars,11392,18153,50,28
2007-11-08 00:00:00,Kiran,France,S14_1681,Motarcycles,6975,9438,25,35
2009-04-02 00:00:00,Kishan,Netherlands,S10_1678,Plans,3638,5006,18,9
2009-08-14 00:00:00,Kalyan,France,S10_1678,Truks And Buses,8803,14261,28,66
2008-05-09 00:00:00,Suban,India,S16_1683,Ships,9831,19245,20,35
2009-06-15 00:00:00,Iliyaz,Canada,S10_1678,Trains,5227,7561,21,79
2009-05-19 00:00:00,Shafi,Canada,S13_1681,Trains,3966,15970,37,31
2009-02-18 00:00:00,Kalyan,Canada,S11_1679,Classic cars,5907,16971,30,49
2012-12-28 00:00:00,Ramu,Netherlands,S10_1678,Vintage cars,4774,5946,11,65
2012-12-05 00:00:00,Ravi,France,S10_1678,Truks And Buses,8547,10945,10,21
2012-09-07 00:00:00,Kiran,France,S12_1680,Trains,4910,10115,11,5
2008-07-08 00:00:00,Snidha,Switzerland,S11_1679,Motarcycles,9771,17050,13,69
2007-05-06 00:00:00,Abhi,Netherlands,S16_1683,Truks And Buses,9124,18979,30,73
2011-01-29 00:00:00,Iliyaz,Austria,S15_1682,Plans,3506,19398,17,61
2011-09-16 00:00:00,Suban,France,S13_1681,Truks And Buses,8706,11651,47,47
2009-07-21 00:00:00,Ramu,Brazil,S14_1681,Plans,4586,6671,40,37
2008-07-27 00:00:00,Ramu,Austria,S11_1679,Classic cars,6921,10819,24,65
2011-12-04 00:00:00,Vijay,Canada,S13_1681,Classic cars,7602,8360,13,58
2006-05-03 00:00:00,Abhi,France,S16_1683,Trains,9228,6628,19,64
2005-02-14 00:00:00,Snidha,Canada,S14_1681,Plans,5286,9831,36,52
2008-10-17 00:00:00,Raja,Switzerland,S15_1682,Motarcycles,4293,17992,11,39
2011-09-10 00:00:00,Raja,Austria,S15_1682,Truks And Buses,4764,10914,20,20
2006-06-06 00:00:00,Kiran,Australia,S14_1681,Vintage cars,10256,11098,14,26
2011-12-25 00:00:00,Abhi,Australia,S15_1682,Motarcycles,6033,15908,44,70
2012-11-21 00:00:00,Abhi,Canada,S13_1681,Plans,10977,8217,15,21
2005-08-19 00:00:00,Kalyan,Canada,S16_1683,Classic cars,6007,17446,15,9
2007-07-09 00:00:00,Ravi,Australia,S11_1679,Ships,8274,9059,39,41
2008-06-02 00:00:00,Praveen,Australia,S12_1680,Vintage cars,9910,15460,16,65
2009-04-14 00:00:00,Kishan,Netherlands,S13_1681,Vintage cars,7880,5981,38,46
2007-01-05 00:00:00,Suban,Brazil,S15_1682,Ships,3315,8006,15,73
2006-01-29 00:00:00,Iliyaz,Netherlands,S13_1681,Vintage cars,10754,11531,14,5
2012-02-25 00:00:00,Raja,Canada,S12_1680,Trains,4550,6984,35,25
2012-08-27 00:00:00,Raja,Brazil,S10_1678,Classic cars,10580,5641,18,9
2008-08-21 00:00:00,Iliyaz,Netherlands,S14_1681,Vintage cars,4062,5344,26,27
2006-06-01 00:00:00,Kalyan,Canada,S11_1679,Trains,5309,11095,16,16
2008-06-27 00:00:00,Mahesh,Brazil,S10_1678,Trains,11832,17890,35,20
2010-08-13 00:00:00,Abhi,Germany,S12_1680,Ships,11544,6528,49,34
2009-09-20 00:00:00,Raja,Switzerland,S12_1680,Plans,5597,19055,17,72
2009-04-11 00:00:00,Praveen,Brazil,S14_1681,Truks And Buses,9782,6189,41,12
2012-01-04 00:00:00,Vijay,India,S16_1683,Trains,10019,11787,41,75
2007-04-11 00:00:00,Abhi,Austria,S13_1681,Vintage cars,8040,18866,44,12
2007-07-12 00:00:00,Raja,France,S13_1681,Trains,9176,16453,29,48
2010-08-18 00:00:00,Kiran,Switzerland,S10_1678,Vintage cars,7098,6575,41,46
2010-07-14 00:00:00,Ramu,Australia,S14_1681,Motarcycles,5971,11707,16,19
2005-10-23 00:00:00,Snidha,Austria,S10_1678,Classic cars,5722,10920,50,20
2009-11-25 00:00:00,Kiran,Switzerland,S12_1680,Classic cars,3228,14890,14,31
2006-04-21 00:00:00,Kiran,Brazil,S15_1682,Plans,3132,12946,10,51
2009-01-05 00:00:00,Vijay,India,S16_1683,Trains,3410,11591,50,41
2009-07-06 00:00:00,Abhi,Brazil,S12_1680,Vintage cars,3314,6585,33,11
2005-12-27 00:00:00,Ravi,Brazil,S11_1679,Plans,6275,9004,38,62
2005-11-24 00:00:00,Suban,Australia,S13_1681,Plans,7991,13033,36,17
2012-02-12 00:00:00,Ramu,Australia,S12_1680,Plans,3670,9388,12,68
2012-12-12 00:00:00,Ramu,Switzerland,S15_1682,Motarcycles,11385,17703,23,36
2011-11-04 00:00:00,Iliyaz,Germany,S10_1678,Ships,3881,14159,26,26
2012-03-25 00:00:00,Kalyan,Brazil,S11_1679,Truks And Buses,7262,18413,24,57
2010-01-12 00:00:00,Iliyaz,Germany,S13_1681,Plans,6831,18521,34,40
2009-07-23 00:00:00,Snidha,Canada,S15_1682,Classic cars,8327,10965,11,64
2009-03-10 00:00:00,Kiran,France,S15_1682,Trains,5729,17072,47,26
2009-11-12 00:00:00,Snidha,Germany,S13_1681,Plans,11855,18498,35,6
2005-12-02 00:00:00,Abhi,Canada,S15_1682,Classic cars,6173,6204,16,44
2012-09-21 00:00:00,Shafi,Austria,S13_1681,Classic cars,10885,8528,48,78
2008-04-28 00:00:00,Kiran,Netherlands,S11_1679,Ships,3550,11260,33,48
2010-03-17 00:00:00,Mahesh,India,S12_1680,Classic cars,10695,18266,18,33
2010-08-18 00:00:00,Snidha,Austria,S13_1681,Motarcycles,3682,19307,43,72
2006-11-03 00:00:00,Ramu,Austria,S14_1681,Motarcycles,9279,13205,49,54
2007-02-23 00:00:00,Kishan,France,S15_1682,Ships,10413,12712,50,6
2006-10-15 00:00:00,Praveen,Austria,S16_1683,Vintage cars,11332,17181,38,79
2010-06-07 00:00:00,Praveen,Canada,S13_1681,Ships,7729,11640,39,67
2009-12-26 00:00:00,Abhi,India,S12_1680,Trains,5810,15750,33,74
2012-11-11 00:00:00,Kalyan,Netherlands,S10_1678,Trains,6245,9962,41,44
2011-08-05 00:00:00,Snidha,Germany,S15_1682,Motarcycles,6812,17848,36,75
2008-11-14 00:00:00,Snidha,Brazil,S16_1683,Motarcycles,9190,18929,36,23
2008-05-11 00:00:00,Snidha,Australia,S15_1682,Classic cars,11970,7660,28,60
2005-10-12 00:00:00,Kishan,Austria,S10_1678,Ships,10101,16909,26,80
2006-08-28 00:00:00,Kiran,Australia,S16_1683,Vintage cars,10511,14427,26,57
2011-07-28 00:00:00,Abhi,Brazil,S15_1682,Classic cars,4386,10012,18,50
2009-02-14 00:00:00,Shafi,Netherlands,S11_1679,Plans,6364,5101,25,23
2006-12-08 00:00:00,Mahesh,Netherlands,S16_1683,Classic cars,3270,15525,21,64
2006-07-19 00:00:00,Ravi,Brazil,S12_1680,Vintage cars,5240,5406,12,78
2010-06-11 00:00:00,Ravi,Netherlands,S10_1678,Motarcycles,4160,10621,44,76
2012-02-22 00:00:00,Iliyaz,Netherlands,S11_1679,Classic cars,3435,17142,29,59
2012-11-15 00:00:00,Kiran,Canada,S10_1678,Classic cars,9489,13466,12,72
2009-01-25 00:00:00,Ramu,India,S16_1683,Classic cars,4946,13600,41,34
2011-07-08 00:00:00,Kalyan,Canada,S13_1681,Vintage cars,3726,9254,34,80
2009-03-05 00:00:00,Kishan,Switzerland,S14_1681,Classic cars,3139,7385,18,8
2007-04-27 00:00:00,Mahesh,India,S13_1681,Vintage cars,6643,16756,10,31
2010-04-20 00:00:00,Raja,Austria,S10_1678,Ships,6565,19181,24,22
2007-05-03 00:00:00,Ramu,France,S12_1680,Motarcycles,11364,5380,45,51
2009-06-28 00:00:00,Praveen,France,S12_1680,Ships,5373,19938,12,76
2005-02-13 00:00:00,Kishan,France,S15_1682,Trains,8057,16530,13,23
2007-09-06 00:00:00,Kiran,Australia,S16_1683,Truks And Buses,4691,5230,16,31
2008-05-29 00:00:00,Snidha,India,S16_1683,Vintage cars,7080,18764,35,78
2007-05-07 00:00:00,Iliyaz,Brazil,S10_1678,Plans,9026,7703,47,55
2008-04-19 00:00:00,Raja,Austria,S12_1680,Vintage cars,11677,18365,26,46
2012-02-04 00:00:00,Shafi,Austria,S10_1678,Ships,10342,10611,49,77
2008-08-01 00:00:00,Kiran,Brazil,S11_1679,Trains,10859,15319,37,15
2012-05-03 00:00:00,Snidha,Austria,S10_1678,Motarcycles,11450,15763,13,11
2012-06-01 00:00:00,Abhi,Canada,S14_1681,Motarcycles,6924,14475,42,31
2005-07-05 00:00:00,Kalyan,France,S16_1683,Ships,3182,19624,10,62
2009-09-28 00:00:00,Raja,Switzerland,S14_1681,Plans,9437,19440,25,31
2007-04-18 00:00:00,Kiran,Australia,S12_1680,Motarcycles,11441,13214,40,16
2008-01-22 00:00:00,Raja,France,S14_1681,Classic cars,10249,6092,10,43
2011-04-27 00:00:00,Mahesh,Switzerland,S12_1680,Plans,8313,13374,22,37
2008-01-10 00:00:00,Iliyaz,France,S14_1681,Motarcycles,10226,5659,10,35
2005-05-25 00:00:00,Iliyaz,Switzerland,S10_1678,Truks And Buses,7685,7702,11,19
2010-10-12 00:00:00,Ramu,Germany,S12_1680,Plans,4526,8900,11,19
2011-08-17 00:00:00,Praveen,India,S14_1681,Truks And Buses,9729,15950,29,30
2005-02-20 00:00:00,Iliyaz,Germany,S15_1682,Classic cars,10328,9186,27,37
2012-11-04 00:00:00,Iliyaz,Germany,S12_1680,Ships,4291,19004,12,9
2009-12-04 00:00:00,Iliyaz,Australia,S12_1680,Truks And Buses,4764,9866,44,52
2007-09-16 00:00:00,Kiran,Netherlands,S15_1682,Classic cars,6854,12872,31,66
2011-11-27 00:00:00,Ramu,Canada,S15_1682,Truks And Buses,6323,10704,33,40
2012-06-11 00:00:00,Kalyan,India,S11_1679,Classic cars,5975,15057,18,12
2007-06-25 00:00:00,Vijay,Netherlands,S16_1683,Ships,11139,6936,42,56
2005-08-13 00:00:00,Raja,Australia,S13_1681,Motarcycles,9485,6329,38,22
2011-01-09 00:00:00,Snidha,Netherlands,S12_1680,Plans,4562,19329,50,24
2008-08-24 00:00:00,Shafi,Germany,S14_1681,Vintage cars,7052,12810,34,39
2007-05-16 00:00:00,Suban,Brazil,S15_1682,Ships,6380,8329,10,70
2009-02-05 00:00:00,Praveen,Switzerland,S10_1678,Plans,10081,10496,20,48
2009-12-05 00:00:00,Kishan,Brazil,S12_1680,Trains,4968,8094,29,30
2005-09-03 00:00:00,Suban,Germany,S15_1682,Vintage cars,9205,8371,50,23
2011-12-08 00:00:00,Mahesh,Australia,S16_1683,Truks And Buses,8578,8670,20,41
2010-09-04 00:00:00,Kiran,Brazil,S11_1679,Motarcycles,10312,16215,16,51
2011-07-03 00:00:00,Kishan,Australia,S16_1683,Trains,10856,5943,29,30
2010-08-14 00:00:00,Ravi,Brazil,S11_1679,Motarcycles,11341,19725,12,72
2007-06-26 00:00:00,Kishan,Switzerland,S12_1680,Trains,3449,5378,43,61
2011-01-08 00:00:00,Praveen,France,S12_1680,Classic cars,10399,6717,42,44
2007-09-01 00:00:00,Ramu,Germany,S11_1679,Plans,10243,12896,22,35
2012-09-02 00:00:00,Praveen,Brazil,S11_1679,Plans,4000,8951,27,68
2005-01-19 00:00:00,Shafi,India,S16_1683,Plans,10147,12773,16,72
2011-04-06 00:00:00,Raja,India,S15_1682,Motarcycles,9693,17710,38,60
2009-11-08 00:00:00,Raja,France,S11_1679,Vintage cars,5529,5042,22,21
2010-12-04 00:00:00,Raja,Germany,S16_1683,Ships,8492,14084,22,71
2011-09-01 00:00:00,Suban,Austria,S16_1683,Vintage cars,6982,16072,32,33
2006-04-11 00:00:00,Ravi,Germany,S16_1683,Vintage cars,6303,11329,23,67
2007-03-28 00:00:00,Raja,France,S12_1680,Truks And Buses,4953,8660,47,6
2005-02-17 00:00:00,Praveen,Canada,S11_1679,Classic cars,3460,10691,16,19
2011-02-11 00:00:00,Iliyaz,Canada,S16_1683,Plans,5844,17300,32,46
2012-01-07 00:00:00,Praveen,France,S13_1681,Motarcycles,5477,12876,43,10
2009-08-12 00:00:00,Raja,Germany,S16_1683,Ships,3458,15866,28,36
2012-04-27 00:00:00,Abhi,Germany,S12_1680,Plans,3567,14419,13,35
2011-06-06 00:00:00,Ravi,Switzerland,S14_1681,Motarcycles,11955,11379,35,42
2009-08-28 00:00:00,Kishan,Switzerland,S11_1679,Ships,9490,11575,31,28
2009-10-05 00:00:00,Ravi,Switzerland,S16_1683,Plans,8914,15776,16,80
2006-01-26 00:00:00,Snidha,India,S15_1682,Vintage cars,10555,12072,21,68
2005-10-17 00:00:00,Raja,Germany,S10_1678,Plans,9735,7653,13,32
2009-06-02 00:00:00,Raja,Germany,S10_1678,Truks And Buses,9093,13576,42,17
2011-11-26 00:00:00,Iliyaz,India,S10_1678,Classic cars,7390,11983,43,56
2008-09-29 00:00:00,Snidha,Canada,S14_1681,Plans,5486,7818,37,51
2005-08-19 00:00:00,Suban,Switzerland,S15_1682,Plans,10612,5089,20,60
2012-01-19 00:00:00,Ravi,Germany,S16_1683,Classic cars,4190,12846,12,41
2006-03-23 00:00:00,Vijay,India,S15_1682,Ships,5034,12026,26,24
2010-03-04 00:00:00,Snidha,Switzerland,S13_1681,Motarcycles,10594,14265,22,38
2008-04-13 00:00:00,Mahesh,Brazil,S14_1681,Plans,9035,14824,38,38
2006-02-19 00:00:00,Iliyaz,Brazil,S16_1683,Ships,9170,14691,48,56
2012-12-22 00:00:00,Kiran,Germany,S10_1678,Motarcycles,9168,7108,37,5
2009-03-29 00:00:00,Ramu,Netherlands,S10_1678,Motarcycles,5976,15695,40,15
2012-03-26 00:00:00,Mahesh,Germany,S10_1678,Vintage cars,7771,11902,15,56
2007-01-26 00:00:00,Kiran,Brazil,S11_1679,Motarcycles,7885,10630,21,16
2005-06-16 00:00:00,Raja,France,S11_1679,Ships,6904,6737,29,31
2006-07-29 00:00:00,Ravi,Austria,S13_1681,Ships,5901,16033,20,40
2005-10-25 00:00:00,Mahesh,Switzerland,S12_1680,Vintage cars,8022,17457,23,32
2005-01-12 00:00:00,Kiran,Australia,S10_1678,Truks And Buses,3833,19804,10,37
2005-04-28 00:00:00,Shafi,France,S14_1681,Ships,6869,10425,17,22
2008-04-09 00:00:00,Raja,Australia,S11_1679,Ships,8103,16649,42,20
2006-02-24 00:00:00,Iliyaz,Canada,S11_1679,Vintage cars,7184,5141,14,59
2011-06-11 00:00:00,Raja,Brazil,S13_1681,Plans,6761,12989,30,8
2010-08-02 00:00:00,Mahesh,Brazil,S16_1683,Classic cars,5804,12252,36,66
2005-11-24 00:00:00,Praveen,France,S16_1683,Ships,9242,10492,47,41
2005-05-22 00:00:00,Ravi,France,S11_1679,Plans,8326,12161,50,61
2009-12-26 00:00:00,Shafi,Canada,S16_1683,Plans,3453,16918,37,37
2008-09-08 00:00:00,Mahesh,Brazil,S12_1680,Vintage cars,4289,13639,28,49
2007-03-23 00:00:00,Abhi,Australia,S10_1678,Ships,7761,9743,24,38
2012-07-09 00:00:00,Kiran,Austria,S15_1682,Ships,6190,18255,31,66
2006-03-22 00:00:00,Ravi,Australia,S10_1678,Vintage cars,9811,17743,47,6
2010-07-15 00:00:00,Vijay,France,S14_1681,Plans,5183,12530,33,65
2010-05-21 00:00:00,Ravi,France,S10_1678,Classic cars,4901,8653,39,41
2008-02-22 00:00:00,Raja,Brazil,S10_1678,Motarcycles,3221,14973,50,40
2007-05-17 00:00:00,Abhi,Netherlands,S10_1678,Trains,7372,15869,22,9
2011-08-08 00:00:00,Suban,Brazil,S11_1679,Ships,9967,11451,30,12
2011-03-14 00:00:00,Raja,Netherlands,S16_1683,Truks And Buses,4979,6488,16,72
2011-03-26 00:00:00,Kiran,Brazil,S16_1683,Ships,10779,12775,14,62
2007-11-27 00:00:00,Praveen,Germany,S16_1683,Trains,7264,15095,36,64
2010-04-23 00:00:00,Raja,France,S10_1678,Vintage cars,10437,13974,37,64
2010-11-19 00:00:00,Mahesh,France,S13_1681,Trains,4883,16114,19,53
